# shell	all	edge
28237301.000000 16295350.000000 50.567336
28344509.000000 16350691.000000 50.667470
28433312.000000 16389553.000000 50.767604
28544213.000000 16446436.000000 50.867738
28643979.000000 16496055.000000 50.967871
28723424.000000 16531560.000000 51.068005
28829803.000000 16584193.000000 51.168139
28947530.000000 16642660.000000 51.268273
29038823.000000 16686067.000000 51.368407
29130746.000000 16727574.000000 51.468541
29244388.000000 16782343.000000 51.568675
29345904.000000 16832476.000000 51.668809
29451556.000000 16888035.000000 51.768942
29530217.000000 16917835.000000 51.869076
29659537.000000 16985564.000000 51.969210
29731971.000000 17010457.000000 52.069344
29854287.000000 17077912.000000 52.169478
29963031.000000 17132546.000000 52.269612
30074778.000000 17186352.000000 52.369746
30175523.000000 17229426.000000 52.469880
30286263.000000 17282907.000000 52.570013
30376881.000000 17326732.000000 52.670147
30479131.000000 17378122.000000 52.770281
30580386.000000 17428538.000000 52.870415
30685708.000000 17475215.000000 52.970549
30768862.000000 17513502.000000 53.070683
30901507.000000 17579631.000000 53.170817
30995209.000000 17622575.000000 53.270950
31091644.000000 17664291.000000 53.371084
31219381.000000 17728905.000000 53.471218
31314372.000000 17773349.000000 53.571352
31412447.000000 17820174.000000 53.671486
31511443.000000 17862524.000000 53.771620
31627331.000000 17915664.000000 53.871754
31734093.000000 17973691.000000 53.971888
31819576.000000 18002788.000000 54.072021
31934714.000000 18059688.000000 54.172155
32068257.000000 18134780.000000 54.272289
32169937.000000 18176097.000000 54.372423
32256226.000000 18211811.000000 54.472557
32380972.000000 18276785.000000 54.572691
32490175.000000 18324338.000000 54.672825
32582237.000000 18364628.000000 54.772959
32666418.000000 18400050.000000 54.873092
32798014.000000 18467779.000000 54.973226
32892859.000000 18505513.000000 55.073360
33004048.000000 18559839.000000 55.173494
33128700.000000 18615844.000000 55.273628
33231026.000000 18670129.000000 55.373762
33334942.000000 18714642.000000 55.473896
33414091.000000 18747189.000000 55.574029
33522135.000000 18798856.000000 55.674163
33645412.000000 18860643.000000 55.774297
33747396.000000 18903395.000000 55.874431
33859896.000000 18956583.000000 55.974565
33956596.000000 18995444.000000 56.074699
34072586.000000 19051691.000000 56.174833
34187959.000000 19102371.000000 56.274967
34303564.000000 19157953.000000 56.375100
34373217.000000 19183348.000000 56.475234
34504779.000000 19244158.000000 56.575368
34609942.000000 19293363.000000 56.675502
34709151.000000 19338602.000000 56.775636
34821676.000000 19388538.000000 56.875770
34933977.000000 19437497.000000 56.975904
35018691.000000 19475573.000000 57.076037
35145190.000000 19530038.000000 57.176171
35253124.000000 19582058.000000 57.276305
35330352.000000 19613035.000000 57.376439
35465345.000000 19674888.000000 57.476573
35576341.000000 19721152.000000 57.576707
35681114.000000 19772448.000000 57.676841
35790708.000000 19816947.000000 57.776975
35888031.000000 19858902.000000 57.877108
36007409.000000 19910348.000000 57.977242
36114842.000000 19955380.000000 58.077376
36214505.000000 20002135.000000 58.177510
36345602.000000 20068551.000000 58.277644
36438522.000000 20100633.000000 58.377778
36554561.000000 20155788.000000 58.477912
36661384.000000 20202270.000000 58.578046
36796102.000000 20268141.000000 58.678179
36901950.000000 20311804.000000 58.778313
36995515.000000 20351927.000000 58.878447
37105775.000000 20396304.000000 58.978581
37234772.000000 20461989.000000 59.078715
37336820.000000 20500958.000000 59.178849
37423870.000000 20536101.000000 59.278983
37568695.000000 20606658.000000 59.379116
37658325.000000 20632143.000000 59.479250
37772429.000000 20692758.000000 59.579384
37869452.000000 20728946.000000 59.679518
37992452.000000 20783350.000000 59.779652
38109688.000000 20838693.000000 59.879786
38204061.000000 20867005.000000 59.979920
38326082.000000 20926361.000000 60.080054
38453287.000000 20988039.000000 60.180187
38565386.000000 21036916.000000 60.280321
38649470.000000 21065204.000000 60.380455
38755239.000000 21106937.000000 60.480589
38864185.000000 21154841.000000 60.580723
38994596.000000 21220290.000000 60.680857
39069416.000000 21239814.000000 60.780991
39208995.000000 21301281.000000 60.881124
39305500.000000 21344031.000000 60.981258
39452594.000000 21411472.000000 61.081392
39561413.000000 21462800.000000 61.181526
39651166.000000 21493698.000000 61.281660
39767854.000000 21543570.000000 61.381794
39884433.000000 21595382.000000 61.481928
40008617.000000 21646121.000000 61.582062
40108815.000000 21685462.000000 61.682195
40209730.000000 21731864.000000 61.782329
40326498.000000 21780327.000000 61.882463
40440995.000000 21827006.000000 61.982597
40553724.000000 21870736.000000 62.082731
40664596.000000 21914257.000000 62.182865
40799031.000000 21980172.000000 62.282999
40881621.000000 22005380.000000 62.383133
41007979.000000 22061235.000000 62.483266
41103782.000000 22091272.000000 62.583400
41235575.000000 22155035.000000 62.683534
41351673.000000 22197185.000000 62.783668
41463439.000000 22245151.000000 62.883802
41602296.000000 22307993.000000 62.983936
41673553.000000 22327850.000000 63.084070
41787931.000000 22375275.000000 63.184203
41931666.000000 22435880.000000 63.284337
42022095.000000 22474626.000000 63.384471
42117905.000000 22505542.000000 63.484605
42248365.000000 22562301.000000 63.584739
42377590.000000 22621532.000000 63.684873
42491857.000000 22663373.000000 63.785007
42609976.000000 22711924.000000 63.885141
42732012.000000 22763256.000000 63.985274
42831915.000000 22803927.000000 64.085408
42958683.000000 22849309.000000 64.185542
43060190.000000 22889692.000000 64.285676
43165569.000000 22931462.000000 64.385810
43275503.000000 22971443.000000 64.485944
43410857.000000 23031876.000000 64.586078
43514590.000000 23070405.000000 64.686212
43634101.000000 23114726.000000 64.786345
43736702.000000 23154074.000000 64.886479
43873168.000000 23216570.000000 64.986613
43972780.000000 23248517.000000 65.086747
44101175.000000 23299853.000000 65.186881
44232789.000000 23357993.000000 65.287015
44318680.000000 23388923.000000 65.387149
44439734.000000 23439803.000000 65.487282
44584991.000000 23500575.000000 65.587416
44701057.000000 23546908.000000 65.687550
44798449.000000 23576744.000000 65.787684
44907294.000000 23621029.000000 65.887818
45031532.000000 23671808.000000 65.987952
45150380.000000 23716324.000000 66.088086
45264521.000000 23762434.000000 66.188220
45391827.000000 23810427.000000 66.288353
45525933.000000 23867604.000000 66.388487
45631723.000000 23904021.000000 66.488621
45767132.000000 23962645.000000 66.588755
45840760.000000 23978798.000000 66.688889
45987535.000000 24048277.000000 66.789023
46134983.000000 24108013.000000 66.889157
46229003.000000 24139889.000000 66.989290
46351141.000000 24184193.000000 67.089424
46481807.000000 24245951.000000 67.189558
46588934.000000 24273718.000000 67.289692
46697544.000000 24312399.000000 67.389826
46818509.000000 24364559.000000 67.489960
